episode_id,time,agent_id,observation_shape,selected_action,target_node,reward_received
0,87,16,[7],0,16,-0.0
0,87,17,[7],2,7,-0.0
0,87,18,[7],3,13,-0.0
0,87,19,[7],4,20,-0.0
0,88,0,[7],1,5,-0.0
0,88,1,[7],2,11,-1.0
0,88,2,[7],4,20,-0.07500000298023224
0,88,3,[7],2,13,-0.0
0,88,4,[7],0,4,-0.0
0,88,5,[7],1,0,-0.0
0,88,6,[7],2,11,-1.0
0,88,7,[7],0,7,-1.0
0,88,8,[7],2,13,-0.22499999403953552
0,88,9,[7],1,4,-1.0
0,88,10,[7],2,5,-0.0
0,88,11,[7],1,1,-0.05000000074505806
0,88,12,[7],3,17,-1.0
0,88,13,[7],1,3,-0.0
0,88,14,[7],2,9,-0.05000000074505806
0,88,15,[7],2,5,-0.0
0,88,16,[7],1,1,-0.0
0,88,17,[7],4,20,-1.0
0,88,18,[7],2,8,-0.0
0,88,19,[7],1,4,-1.0
0,89,0,[7],2,10,-0.0
0,89,1,[7],1,6,-0.07500000298023224
0,89,2,[7],1,7,-0.0
0,89,3,[7],3,18,-0.0
0,89,4,[7],0,4,-0.0
0,89,5,[7],2,10,-0.0
0,89,6,[7],1,1,-0.0
0,89,7,[7],1,2,-1.0
0,89,8,[7],1,3,-0.0
0,89,9,[7],2,14,-1.0
0,89,10,[7],1,0,-0.0
0,89,11,[7],0,11,-0.0
0,89,12,[7],4,20,-0.22499999403953552
0,89,13,[7],0,13,-1.0
0,89,14,[7],1,4,-0.0
0,89,15,[7],1,0,-0.0
0,89,16,[7],1,1,-0.07500000298023224
0,89,17,[7],2,7,-0.0
0,89,18,[7],0,18,-1.0
0,89,19,[7],0,19,-0.0
0,90,0,[7],3,15,-0.0
0,90,1,[7],3,16,-0.0
0,90,2,[7],0,2,-0.07500000298023224
0,90,3,[7],3,18,-0.0
0,90,4,[7],1,9,-0.07500000298023224
0,90,5,[7],0,5,-1.0
0,90,6,[7],3,16,-1.0
0,90,7,[7],1,2,-0.0
0,90,8,[7],1,3,-1.0
0,90,9,[7],0,9,-0.0
0,90,10,[7],4,20,-0.0
0,90,11,[7],4,20,-0.0
0,90,12,[7],0,12,-0.0
0,90,13,[7],0,13,-0.0
0,90,14,[7],1,4,-0.0
0,90,15,[7],2,5,-0.0
0,90,16,[7],3,11,-1.0
0,90,17,[7],0,17,-1.0
0,90,18,[7],4,20,-1.0
0,90,19,[7],0,19,-0.22499999403953552
0,91,0,[7],1,5,-0.0
0,91,1,[7],2,11,-0.0
0,91,2,[7],2,12,-0.0
0,91,3,[7],2,13,-0.0
0,91,4,[7],2,14,-0.15000000596046448
0,91,5,[7],4,20,-1.0
0,91,6,[7],4,20,-0.0
0,91,7,[7],4,20,-0.0
